4788045102129733,03/27,945,9724.81
1487626548025418,05/24,196,1909.05
6142395255578600,02/26,402,4064.49
9707672312411854,01/28,331,583.67
6149322662763595,03/28,588,4944.33
7954748076107278,04/28,598,1616.89
7547478597849400,12/28,849,7849.96
0927700676229109,01/27,453,3892.99
5444526938269873,01/26,963,9309.33
2130169206762491,08/29,259,2545.47
0016416337202032,01/25,884,873.44
7965077155473128,09/29,950,7593.18
2019696074189493,08/27,002,8680.06
2343097945201166,04/25,802,2473.91
5430377487129731,12/25,968,8702.3
8440416435891248,08/28,897,5068.12
2672644434765215,12/28,737,3622.42
9439499696682524,10/25,545,5180.5
4874787267574181,02/28,838,5048.58
2319153385524604,03/25,652,1060.0
9505142775327045,11/28,740,6145.56
4111449487861959,03/29,605,6698.26
4323164242115415,03/27,499,8492.6
0624614889414746,10/28,340,3026.85
3765799475627604,11/27,771,2711.13
0976716297353855,04/27,152,577.44
1599284453322292,09/25,240,3413.53
9877836760432906,10/29,575,9477.79
1375875815173077,05/28,648,783.14
5559467826382632,08/24,059,5901.21
8816611240798394,09/25,397,6728.71
5654607383123011,04/27,595,7019.83
5969771134576054,07/26,195,5063.12
5260031189788102,05/29,544,8963.71
6156543935566673,07/28,929,716.86
7651751588681194,10/27,282,5182.98
2573252990813567,02/27,782,722.41
3912817933159394,07/26,672,3207.48
4623454598044677,11/29,163,8715.68
5158446611646682,08/25,480,4217.79
5700301641205391,05/27,466,7277.02
7052228089962903,10/29,853,3525.25
1457042098613526,07/24,946,7532.0
7423214511862446,11/29,329,9174.84
7108260766762144,03/26,575,4595.0
8115536178867736,03/29,741,2419.66
2918664199794008,07/25,957,6085.19
0908184822673727,04/25,885,395.25
4873745772961169,09/25,349,4063.74
1626857411202727,10/27,823,6294.44
