0174781830,358863,706.3
0157787432,355157,709.96
0199723967,770544,3711.48
0144382797,367264,946.28
0167125169,029559,4838.4
0192054384,252906,2292.58
0178969731,877062,4119.45
0195455030,574569,1137.03
0171123653,056599,3429.41
0189091461,026613,1684.39
0159729619,981445,4502.21
0122800364,941091,1667.52
0143355305,421888,4197.04
0174392012,441270,3545.66
0136915316,647666,2622.61
0109837396,333695,4455.64
0132150434,266383,3096.98
0100790524,621425,2029.31
0154033938,957732,4681.1
0157565049,962641,3472.7
0137126910,455929,4735.18
0109824269,544949,3759.98
0144438383,384949,1928.69
0103885079,575505,732.46
0144737824,052610,3909.78
0190314991,561993,4802.03
0126490136,071270,2843.52
0119815749,687679,466.8
0101628530,839330,1141.02
0157387853,345719,3779.57
0181663176,694089,4552.42
0109235016,177453,4998.69
0195124782,307728,769.26
0168302873,242451,3286.88
0109624331,999293,4252.27
0150908319,703553,1394.83
0148329347,643150,2591.12
0106345255,788617,4078.24
0179583944,935241,2708.33
0166308395,506282,701.26
0196903339,512827,4649.96
0195969343,145822,3454.78
0107208279,255665,2604.99
0137761582,413200,2398.8
0114163889,661426,1439.59
0165893888,087493,3463.22
0168867608,274734,2404.73
0190647329,333931,67.24
0174542037,106510,339.65
0155419627,131768,3745.82
