7217872696,1GEK#c8R7Q,8179.01
7264069534,!vwOxV6JR3,7323.17
4694408339,LxACVRWRoh,4994.92
6012955975,6BUROyw2z@,5441.88
9069113276,co2YCOiM0j,7143.28
8787946173,zzUXSbnMS!,3218.87
3544828467,0C6enwgP8s,961.46
0319038534,VgcUkY3r$a,3518.98
5223879144,uwS!7$57of,4013.29
1808831362,@T2avy@5VJ,7716.56
7407223375,amRxWr$IAl,3861.14
0178587909,R$dypXkuz3,2696.67
3466107763,@1kz$@1Sk8,7010.36
1145168696,!eOnW2ihFZ,3157.18
9532423368,Z0sO1XMGmv,9466.29
3627906727,yc$vUfqsRv,4453.23
2436804368,JwR4p2yj%h,4940.93
5305485274,NbhJQsMbDB,7094.59
2264840427,ZK2!2OIhFb,7640.01
3061928779,OI$1E!jJjx,3018.25
2402363339,2mavU7CpKJ,376.79
0876059242,1@JuEJDLXH,4192.99
3301974670,ov2wTzaoJX,642.79
2368139661,!eh4nOJn7Z,6584.76
6433961130,NybNEmI0!b,3870.12
4082764227,KhD$h%gIgs,6859.29
2899151798,S!6p7wqqX9,7358.35
7176010765,B%9BteMYaG,4875.16
8445101092,IkLpGAaq7T,5429.49
9101007614,Dm#m%Z6SOH,200.93
6686758737,@NIGskM#d6,1516.63
1271095393,iMN0gyv#4M,7107.16
1961578332,JdgG!Gpm!o,461.34
7844038118,63gmmbnXeq,4291.55
4389709718,rp4@5bBIPC,3179.12
8844519303,P4qe$5UFcL,6305.39
2341882936,PW@PSEy0Oj,4210.45
5157651677,cM6RYw%miR,3156.26
5678857418,ktjHLSuhCd,8015.78
4444293828,%snvfBl@ZO,1075.46
0712588475,0qYiL@j4YC,8106.22
6299446162,n7UnUQCJoq,833.29
1182079082,z4QnCo8WfF,437.69
6332873192,$QbBN8myug,9805.28
0638372331,Nnze%%0gUA,2676.46
8457580560,1Tq8!Lu!o@,9775.13
2443936644,t@sxEw0R2m,7393.84
5287803604,YIEYXyAsCB,5628.54
0235339803,9VcAlF@goC,6407.72
2150864906,fHuvHQNRSy,9094.74
